,price,loc,size
2015-08-19 16:57:00,2600,nby,950.0
2015-08-19 16:56:00,3150,nby,595.0
2015-08-19 16:55:00,4500,nby,2284.0
2015-08-19 16:50:00,2350,nby,1910.0
2015-08-19 16:48:00,5995,nby,1335.0
2015-08-19 16:48:00,1764,nby,630.0
2015-08-19 16:42:00,2740,nby,815.0
2015-08-19 16:33:00,2900,nby,1648.0
2015-08-19 16:33:00,1500,nby,
2015-08-19 16:33:00,1750,nby,
2015-08-19 16:33:00,2200,nby,1137.0
2015-08-19 16:33:00,2900,nby,1938.0
2015-08-19 16:33:00,3800,nby,3373.0
2015-08-19 16:33:00,2200,nby,1586.0
2015-08-19 16:32:00,2750,nby,1973.0
2015-08-19 16:32:00,2700,nby,999.0
2015-08-19 16:32:00,2900,nby,1200.0
2015-08-19 16:32:00,2425,nby,2037.0
2015-08-19 16:31:00,2299,nby,1450.0
2015-08-19 16:31:00,1550,nby,850.0
2015-08-19 16:28:00,1699,nby,
2015-08-19 16:27:00,2350,nby,800.0
2015-08-19 16:23:00,2950,nby,
2015-08-19 16:10:00,2200,nby,700.0
2015-08-19 16:09:00,1920,nby,475.0
2015-08-19 16:09:00,2295,nby,
2015-08-19 16:09:00,2295,nby,
2015-08-19 16:06:00,3800,nby,
2015-08-19 16:06:00,2361,nby,612.0
2015-08-19 16:05:00,1150,nby,900.0
2015-08-19 16:03:00,2200,nby,
2015-08-19 15:56:00,2299,nby,1240.0
2015-08-19 15:52:00,1991,nby,1028.0
2015-08-19 15:52:00,3100,nby,
2015-08-19 15:41:00,5248,nby,1533.0
2015-08-19 15:40:00,2775,nby,773.0
2015-08-19 15:36:00,1795,nby,510.0
2015-08-19 15:36:00,1500,nby,
2015-08-19 15:33:00,6450,nby,3250.0
2015-08-19 15:33:00,15250,nby,4800.0
2015-08-19 15:33:00,3950,nby,
2015-08-19 15:29:00,1700,nby,1046.0
2015-08-19 15:29:00,2840,nby,1144.0
2015-08-19 15:29:00,1150,nby,700.0
2015-08-19 15:23:00,1595,nby,
2015-08-19 15:23:00,2149,nby,1198.0
2015-08-19 15:23:00,1200,nby,
2015-08-19 15:23:00,1650,nby,
2015-08-19 15:22:00,1199,nby,948.0
2015-08-19 15:22:00,1900,nby,
2015-08-19 15:13:00,2250,nby,1464.0
2015-08-19 15:06:00,4200,nby,2450.0
2015-08-19 15:06:00,2045,nby,
2015-08-19 15:05:00,1800,nby,700.0
2015-08-19 15:04:00,1500,nby,779.0
2015-08-19 14:59:00,1764,nby,
2015-08-19 14:56:00,2200,nby,1240.0
2015-08-19 14:55:00,1695,nby,
2015-08-19 14:52:00,3500,nby,
2015-08-19 14:50:00,2500,nby,1007.0
2015-08-19 14:48:00,2000,nby,1310.0
2015-08-19 14:47:00,1975,nby,790.0
2015-08-19 14:47:00,1700,nby,1000.0
2015-08-19 14:47:00,1150,nby,415.0
2015-08-19 14:46:00,2600,nby,1800.0
